Name	sample	TCGA-3X-AAV9-01	TCGA-3X-AAVA-01	TCGA-3X-AAVB-01	TCGA-3X-AAVC-01	TCGA-3X-AAVE-01	TCGA-4G-AAZO-01	TCGA-4G-AAZT-01	TCGA-W5-AA2G-01	TCGA-W5-AA2H-01	TCGA-W5-AA2I-01	TCGA-W5-AA2I-11	TCGA-W5-AA2O-01	TCGA-W5-AA2Q-01	TCGA-W5-AA2Q-11	TCGA-W5-AA2R-01	TCGA-W5-AA2R-11	TCGA-W5-AA2T-01	TCGA-W5-AA2U-01	TCGA-W5-AA2U-11	TCGA-W5-AA2W-01	TCGA-W5-AA2X-01	TCGA-W5-AA2X-11	TCGA-W5-AA2Z-01	TCGA-W5-AA30-01	TCGA-W5-AA30-11	TCGA-W5-AA31-01	TCGA-W5-AA31-11	TCGA-W5-AA33-01	TCGA-W5-AA34-01	TCGA-W5-AA34-11	TCGA-W5-AA36-01	TCGA-W5-AA38-01	TCGA-W5-AA39-01	TCGA-W6-AA0S-01	TCGA-WD-A7RX-01	TCGA-YR-A95A-01	TCGA-ZD-A8I3-01	TCGA-ZH-A8Y1-01	TCGA-ZH-A8Y2-01	TCGA-ZH-A8Y4-01	TCGA-ZH-A8Y5-01	TCGA-ZH-A8Y6-01	TCGA-ZH-A8Y8-01	TCGA-ZU-A8S4-01	TCGA-ZU-A8S4-11
BIRC7-203	ENST00000395306.1	3.9355	1.5656	1.5801	0.0	1.2079	0.0	2.3161	1.3391	2.4647	0.0	0.0	0.5261	1.0635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.384	0.0	0.0	0.0	0.0	0.0	0.0	1.5656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCL2-201	ENST00000225831.4	11.2341	11.0546	11.0282	8.7006	12.8458	7.0952	13.0618	10.6444	9.1057	7.5991	7.8209	8.2067	10.4321	10.5622	11.2345	10.2893	8.145	9.636	9.0426	11.6138	7.4707	8.9219	11.6253	12.2042	9.4701	13.3085	10.2895	11.1423	11.4478	8.6241	9.7103	13.3884	5.2479	10.7593	11.1613	10.2954	8.8275	12.9205	12.5674	11.9952	7.9178	7.9317	12.8202	9.321	7.1238
CCL2-202	ENST00000580907.5	4.3427	5.4346	5.3154	2.3951	5.9563	0.0	3.7506	3.4087	0.0	0.0	3.557	2.4114	4.2219	4.1301	5.2702	4.6029	0.0	4.1595	1.6462	5.1715	2.9146	4.5583	4.696	6.614	3.9231	6.9176	4.9126	5.8679	3.4854	3.7634	0.0	7.4709	0.0	4.254	5.4476	4.7382	3.1043	6.8992	5.9162	5.6784	0.903	2.6622	8.0113	3.4356	1.3391
CCL2-203	ENST00000624362.1	3.1953	4.3526	4.2494	1.0072	5.5604	1.0072	2.0036	1.0072	0.0	0.0	2.0036	1.0072	3.3248	1.5898	4.5273	1.585	0.0	2.5898	2.3277	4.3277	0.0	1.585	4.2008	4.8846	2.5898	6.2147	3.0036	5.4333	5.0921	2.0179	3.0036	6.8391	0.0	3.0233	3.1906	3.8146	2.8094	5.5326	4.9136	4.3978	2.0391	0.0	5.9117	1.0	0.0
CCL22-201	ENST00000219235.4	8.9944	7.0444	6.9307	8.5196	8.1497	4.3923	6.3923	5.9307	11.2432	3.3219	3.8074	2.585	4.0875	3.1699	8.2384	4.7004	4.3923	6.9542	5.1293	3.7004	7.9944	5.2854	4.585	6.9542	4.6439	8.4878	4.858	9.1749	7.3309	3.585	6.5999	4.3219	1.0	6.7814	9.207	4.585	3.0	3.8074	7.3219	4.0	1.0	2.585	6.6865	4.5236	4.1699
CD274-201	ENST00000381573.8	4.4256	0.0	0.0	0.0	0.0	4.1579	0.0	0.0	8.1972	2.5261	3.853	0.0	0.0	0.0	0.0	4.8258	4.3957	0.0	4.9598	0.0	3.3757	2.7506	5.0058	0.0	4.4764	4.5472	0.0	0.0	0.0	3.6182	0.0	0.0	4.2638	0.0	6.7754	0.0	5.9322	0.0	0.0	0.0	0.0	0.0	0.0	9.3484	1.2327
CD274-202	ENST00000381577.3	6.8643	4.841	7.7015	7.7186	7.9187	5.1355	5.0184	6.6392	5.1469	4.0514	3.6496	7.2222	5.9941	5.6724	8.1666	6.359	4.254	7.5531	4.5777	6.6538	3.8689	5.8647	8.5578	6.3092	5.5466	7.0526	6.0444	7.396	7.1533	5.8758	6.2776	5.4709	4.0144	7.652	6.3478	5.9488	5.8227	5.6862	5.9891	5.6539	5.218	9.5014	7.022	11.105	5.1558
CD274-203	ENST00000474218.1	0.0	2.1177	2.9222	1.2388	0.0	0.0	2.1985	1.6554	1.6182	1.8718	0.0	3.7634	0.3334	0.0	2.2898	1.3561	1.9523	2.774	0.0	0.0	1.9222	0.0	3.1094	2.2327	0.0	1.433	0.0	1.269	3.1127	0.0	1.275	2.0108	1.86	2.189	0.0	2.854	2.6645	2.0841	0.0	0.0	1.6135	3.4463	2.9727	3.251	0.0
CD274-204	ENST00000492923.1	0.0	0.0	2.5632	0.0	1.0215	0.0	0.0	1.1243	0.0	0.0	0.0	1.0772	0.0	1.0	2.9598	0.0	0.0	2.6088	0.0	1.7268	0.0	0.0	2.433	0.0	0.0	1.1177	0.0	1.1043	0.0	0.0	0.0	0.0	0.0	1.2079	0.0	0.0	0.0	1.1827	0.0	0.0	0.0	3.366	1.1243	1.0635	0.0
CD274-205	ENST00000498261.1	0.0	0.0	0.433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7049	0.0	0.0	0.2869	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.856	0.0	0.0	0.0	0.0	0.0	0.0	2.903	2.2172	1.8953	0.0	0.0	0.0	0.0
IDO1-201	ENST00000253513.11	6.6579	4.2048	5.0798	5.8367	8.6472	0.0	4.8435	0.0	8.846	3.1811	0.0	3.384	3.6576	0.0	7.4098	0.0	0.0	4.9165	0.0286	0.0	0.0	3.4764	7.1691	4.6264	3.9126	5.4617	0.0	5.9816	4.8166	3.7159	0.0	3.3219	1.0	5.5413	6.9768	4.1683	3.251	1.3045	3.8146	0.0	2.585	0.0	5.4774	8.1467	0.0
IDO1-202	ENST00000518237.5	0.0	0.0	0.0	3.497	6.0787	0.0	0.0	0.0	0.0	0.0	2.5826	0.0	0.0	0.0	4.1252	0.0	0.0	2.9964	0.0	0.0	0.0	0.0	5.7811	2.7398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8758	4.2227	0.0
IDO1-203	ENST00000518804.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IDO1-204	ENST00000519154.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IDO1-205	ENST00000521480.1	1.0976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0566	0.0	0.0	0.0	0.0	0.0	1.0635	0.0	0.0	1.1375	1.0496	0.0	0.0	0.0	1.2079	0.0	0.0	1.0215	0.0	1.0976	0.0	0.0	0.0	0.0	0.0	0.0	1.0976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2869	0.0	0.0
IDO1-206	ENST00000521636.1	0.0	0.0	0.0	0.0	3.4356	0.0	1.0356	0.0	2.2079	0.0	0.0	0.0	1.269	0.0	1.3505	0.0	0.0	0.0	0.0	1.6182	0.3334	0.0	0.0	0.0	0.0	0.0	0.0	1.4383	0.0	0.0	0.0	0.0	0.0	0.0	2.0179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0566	0.0
IDO1-207	ENST00000522495.5	8.4438	4.2563	6.6076	9.7185	10.8534	4.3785	4.7458	5.7939	10.2313	0.0	1.8797	0.0	6.7545	4.4555	9.6227	5.0246	2.905	7.1443	5.6121	6.7739	1.6915	4.3284	8.6704	6.6822	4.649	6.272	3.7803	7.6408	7.628	0.0	5.0	0.0	0.0	6.7606	8.8236	3.6656	3.856	4.7247	2.7093	4.2623	0.0	2.3219	7.3783	9.8432	4.1603
IDO1-208	ENST00000522840.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IDO1-209	ENST00000523779.1	4.9855	2.6893	2.2234	6.3047	7.1659	3.2016	3.5122	2.1763	7.9602	2.568	0.4114	0.6415	0.0	0.0841	6.1189	1.7866	1.3277	3.4816	0.0	3.858	1.3277	1.9222	4.7186	3.5777	2.278	4.0548	2.3951	2.4276	0.0	1.516	0.0	0.0	0.0	3.9069	6.1709	2.1144	0.0	1.0566	0.4647	0.856	0.0	0.0	4.717	5.9124	1.6415
IL10-201	ENST00000367099.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.3674	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IL10-202	ENST00000423557.1	3.7004	2.8074	4.4594	4.1699	3.9458	0.0	1.0	3.0	6.0418	2.3219	1.585	3.4594	2.585	2.8074	3.8043	6.2867	1.585	4.9011	3.9069	2.3951	1.0	3.4594	2.0	3.4594	2.3219	3.8777	5.5163	4.7549	1.0	3.2434	2.7866	3.7004	1.0	5.0875	3.585	0.0	2.3219	2.4383	1.0	2.585	2.0	1.585	4.4983	5.1293	5.8657
IL10-203	ENST00000471071.1	1.0	0.0	0.0	0.0	2.1985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0426	3.6927	0.0	0.0	0.0	1.4542	0.0	0.0	1.0	0.0	0.0	2.406	2.6392	0.0	0.0	1.3391	0.1375	0.0	0.0	0.0	0.0	0.0	1.585	0.0	0.0	1.0	0.0	0.0	1.7655	2.0	2.943
LGALS3-201	ENST00000254301.13	13.7302	11.8749	14.0368	13.1495	12.1331	10.1163	12.2708	12.8573	10.8882	12.3648	7.7798	12.231	13.1892	9.1748	11.0179	8.0026	12.1505	12.7751	9.7188	11.1231	13.9588	9.2497	12.9991	11.8292	9.0912	12.5104	7.8022	13.2435	12.2238	8.8336	10.7643	13.6767	11.8489	12.908	13.1414	12.5381	13.0843	12.6427	11.7961	11.7786	15.8937	13.8079	12.9423	12.5243	8.1023
LGALS3-202	ENST00000553493.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LGALS3-203	ENST00000553755.5	9.9383	6.5706	10.2669	9.4153	9.0023	6.0883	2.359	9.5362	5.1359	4.3356	0.0	7.2608	9.4382	4.275	8.0642	3.842	8.5278	9.4145	0.0286	7.3833	9.8071	5.634	9.1069	6.3927	4.1301	8.3765	3.3491	10.1655	6.8036	5.1867	5.9619	9.6514	6.4837	9.0733	8.3644	7.9022	9.6675	8.7082	8.672	8.4084	11.4863	10.2774	8.08	8.8232	4.0993
LGALS3-204	ENST00000554715.1	0.0	2.384	3.2342	4.1301	3.3646	2.1763	0.0	3.4209	0.0	2.0	0.0	4.6421	5.2044	2.2898	2.3896	0.0	3.6803	3.3103	0.0	4.5348	6.3379	2.2388	3.3964	4.0678	0.0	3.7027	0.0	6.6515	0.0	0.0	0.0	2.3363	0.0	3.848	4.0418	3.5934	3.2854	4.7671	0.0	2.441	7.5593	6.038	3.7049	0.0	0.0
LGALS3-205	ENST00000556263.1	1.8875	0.0	1.8032	1.9819	0.0	0.0	0.0	1.9964	0.0	0.0	0.0	2.6088	3.211	0.0	0.0	0.0	2.5286	1.8758	0.0	1.8197	2.5969	0.0	3.1243	0.0	0.0	2.541	0.0	3.4316	0.0	0.0	0.0	1.9598	0.0	3.433	0.0	3.0444	0.0	1.9635	0.0	2.757	4.7268	2.669	2.943	0.0	0.0
LGALS3-206	ENST00000556322.1	3.4919	2.0909	2.06	2.1795	2.1309	0.0	0.0	3.0215	0.0	2.568	0.0	1.9561	0.0	0.0	0.0	0.0	0.0	2.1243	0.0	0.0	2.0807	0.0	2.1375	0.0	0.0	2.0036	0.0	0.0	0.0	0.0	0.0	0.0	2.7268	2.101	0.0	1.9449	2.1827	3.0755	0.0	0.0	2.7949	2.2234	1.9069	0.0	0.0
LGALS3-207	ENST00000556438.6	8.5024	6.4717	8.8617	8.3087	7.0418	5.8199	7.5561	7.6804	6.3667	7.9327	4.1077	6.7879	8.5355	4.3792	6.35	1.6781	8.467	7.277	5.2227	6.8318	9.9741	5.488	7.7268	7.4634	4.9107	8.3713	3.7666	9.1879	7.8876	3.841	5.9165	8.0509	6.859	8.0219	7.565	8.0983	8.8482	8.0886	6.4751	6.7926	10.9652	9.2036	7.7607	7.3039	3.8115
LRRC32-201	ENST00000260061.9	12.4608	10.528	12.0924	8.5645	10.1817	7.6121	10.3685	10.8785	9.0804	7.1277	8.3021	9.2492	10.6564	9.5846	10.1929	8.3065	9.5151	10.5013	8.4036	9.4342	9.8352	9.3191	12.0287	11.3845	9.8049	11.5605	8.6974	11.2438	8.9703	8.6867	10.5503	9.4293	8.6304	10.2541	11.1536	10.766	10.7708	11.0059	9.982	9.7347	11.1554	11.2834	11.0754	10.3284	8.2406
LRRC32-202	ENST00000404995.5	8.8245	7.0173	7.603	6.1969	6.632	3.1326	6.7956	7.7671	4.8748	4.6599	5.5877	5.0798	7.6162	6.7435	6.5606	6.2517	6.2771	7.5382	5.1823	5.7918	6.5603	6.002	8.0944	8.2227	6.9773	8.1783	6.1258	8.055	4.641	5.4469	5.7996	6.467	4.0479	7.1715	7.5843	6.7007	6.5972	7.6127	6.0334	5.4967	7.8822	8.1299	6.4656	7.1518	4.7404
LRRC32-203	ENST00000407242.6	9.798	8.47	9.5367	8.8482	8.1026	0.0	0.0	8.5628	4.9402	0.0	4.8812	5.9013	8.3136	7.4366	8.4928	5.9998	7.972	7.9399	6.5685	7.8412	6.5892	5.4893	9.6947	9.1151	7.6457	9.4958	6.532	9.1767	4.9864	4.5122	5.9998	6.4772	0.0	8.7631	7.3036	6.3257	8.2979	9.1303	7.0019	8.8579	9.8867	9.1429	8.8063	7.3232	4.6264
LRRC32-204	ENST00000421973.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRRC32-205	ENST00000464145.1	9.418	7.1527	9.4533	6.7166	5.9891	5.632	10.1369	7.5429	7.4726	7.5536	5.9727	7.2374	6.4699	7.158	6.5532	4.6565	7.3809	6.7152	6.478	4.9764	7.3999	6.1948	7.6629	8.0351	6.9807	7.9372	5.6582	6.3981	6.765	5.8948	8.764	6.9425	5.4973	6.9113	8.6219	8.9795	8.2157	6.9823	5.7013	6.246	7.5811	6.9424	7.6155	7.4173	5.3964
PDCD1LG2-201	ENST00000397747.4	7.1997	4.7549	6.8329	5.8826	6.7142	3.7004	4.3219	6.6294	7.6511	2.0	4.7549	3.585	5.0	6.0875	7.585	5.6724	2.3219	6.0661	5.1699	5.4919	2.3219	5.6724	5.7004	5.7814	5.4594	6.6294	5.5546	6.5999	4.4594	5.8329	4.0	3.9069	1.0	5.7549	6.3399	4.9069	4.3219	4.5236	4.9069	4.1699	5.0	5.3576	6.7682	10.5831	5.9069
SIGLEC15-201	ENST00000389474.7	3.8053	1.3045	4.2891	3.2839	1.3561	0.0	0.0	3.3291	3.7495	3.2126	0.0	1.511	0.0	1.6871	3.1843	0.0	0.0	2.5534	1.7949	0.0	0.0	0.0	0.0	1.4957	0.0	0.0	0.0	1.6276	0.0	0.0	0.0	0.0	0.0	0.0	1.3277	0.0	2.4489	0.2388	0.0	0.0	0.0	0.0	1.8359	10.9314	0.0
SIGLEC15-202	ENST00000546268.5	2.1667	0.0	1.1635	2.541	0.0	1.0976	0.0	2.0566	0.0	0.0	0.0	0.0	3.1554	0.0	2.373	0.0	1.1043	3.0583	0.0	2.9616	1.0	0.0	0.0	3.0909	0.0	0.0	0.0	1.1699	1.0	0.0	0.0	2.8237	0.0	0.0	1.8679	0.0	1.433	2.7908	1.585	0.0	0.0	1.0909	2.7887	2.2172	0.0
SIGLEC15-203	ENST00000587418.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1177	0.0	0.0	0.0	0.0	0.0	1.7991	0.0	0.0	0.0	0.0	0.0	1.1506	0.0	0.0	0.0	0.0	1.1309	4.5705	0.0
SIGLEC15-204	ENST00000593178.2	5.9896	3.861	8.7149	8.7696	4.488	5.3875	5.2843	4.9083	4.157	10.0275	5.2854	3.2373	10.3232	3.98	8.565	2.8176	5.3523	6.6977	4.6662	8.641	2.585	2.4957	3.8074	7.4319	4.3219	7.5912	5.0444	8.8095	2.585	5.4263	3.1194	11.7455	1.0	3.0959	5.8032	3.0959	8.3122	8.7302	3.585	4.5236	5.0875	4.3125	8.4811	12.7835	3.3219
SIGLEC15-205	ENST00000602118.6	0.0	0.0	0.0	0.0	0.0	0.0	3.8104	3.1309	3.121	0.0	0.0	0.0	0.0	0.0	0.0	2.797	0.0	0.0	0.189	0.0	0.0	1.7485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3896	5.9011	0.0	1.7866	0.0	0.5361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.2137	0.0
TDO2-201	ENST00000503634.5	1.3618	0.0	0.0	0.0	0.0	0.0	0.0	1.0356	0.0	0.0	0.0	0.0	0.0	1.0215	0.0	1.0566	0.0	0.0	1.1763	0.0	0.0	1.111	0.0	0.0	1.0286	1.0286	1.1699	1.0426	0.0	1.4276	0.0	0.0	0.0	0.0	0.0	0.0	1.6736	0.0	2.3219	0.0	0.0	0.0	1.0635	1.6871	0.0
TDO2-202	ENST00000506072.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5656	0.0	1.6915	0.0	1.1506	0.0	2.9146	1.4114	0.0	1.2987	0.0	0.0	1.4957	0.0	3.8904	0.0	0.0	3.4356	0.0	0.0	0.0	0.0	0.0	0.0	3.9846	0.0	0.0	0.0	0.0	0.0	0.0	2.406	3.0807
TDO2-203	ENST00000506181.5	1.8197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TDO2-204	ENST00000507590.5	0.0	0.0	0.0	1.4168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.406	0.0	0.0	0.0	0.0	2.0772
TDO2-205	ENST00000509738.1	0.0	0.0	1.0772	1.1309	1.1375	0.0	0.0	3.0	0.0	0.0	7.1571	2.742	2.8237	4.0892	0.0	4.6182	0.0	1.7824	7.659	0.0	1.5993	7.9581	1.856	0.0	6.3844	4.1522	7.4096	3.0286	0.0	7.3789	0.0	0.0	6.8559	0.0	3.9561	2.6599	2.0909	1.0356	0.0	0.0	0.0	0.0	2.854	1.7312	6.0029
